web-scraper-order,web-scraper-start-url,category,category-href,merk,merk-href,gambar-src,nama,harga,lokasi
1519715960-29,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/dell/?&from=onesearch_category_9112,,Dell Inspiron 15 7567 - Intel Core i7-7700HQ - 16 GB DDR4 - 256GB SSD + 1 TB HDD - Nvidia GeForce GTX 1050Ti4 GB - 15.6" - Win 10 - Black,Rp18.399.000,DKI Jakarta
1519716011-390,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/hp/?&from=onesearch_category_9110,,HP 14 - ac005TX - 2GB RAM - Intel®Core™i3-4005U - 14" - VGA - Putih,Rp4.875.000,
1519715993-203,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/xiaomi/?&from=onesearch_category_9110,https://id-live-02.slatic.net/p/2/xiaomi-mi-notebook-air-133-inch-windows-10-1511923009-10597265-5e88e7be0efdc720eef8dfbc3dcf575a-catalog_233.jpg,Xiaomi Mi Notebook Air 13.3 Inch Windows 10,Rp16.500.000,DKI Jakarta
1519716007-359,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/lenovo/?&from=onesearch_category_9110,,Laptop 14 Inch Lenovo IP 110-14IBR DOS Intel N3060 4GB RAM 500GB HDD Hanya 3 Juta-An - Promo,Rp4.204.302,Jawa Timur
1519715997-241,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/toshiba/?&from=onesearch_category_9110,,"Toshiba C55-C2045 - Intel Core i3-5005U - RAM 4GB - 500GB - 15,6"" - Hitam",Rp5.142.000,
1519715993-212,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/xiaomi/?&from=onesearch_category_9110,,Xiaomi Mi Notebook Pro i5 8GB 256GB 15.6 Inch Windows 10,Rp13.499.000,
1519716004-303,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/acer/?&from=onesearch_category_9110,,Acer V3-372 - Intel Core i5-6200U - RAM 4GB - 500GB - 13.3' - Windows 10 - Steel Black,Rp7.049.000,DKI Jakarta
1519716004-305,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/acer/?&from=onesearch_category_9110,,Acer Aspire Z476 - Intel Core I3 - 4GB RAM - 1 TB HDD - 14 Inch - DOS - Black,Rp5.330.000,Banten
1519715997-250,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/toshiba/?&from=onesearch_category_9110,,TOSHIBA L10W 2019 Layar Lipat 11 INC Touchscreen,Rp3.915.000,
1519716004-331,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/acer/?&from=onesearch_category_9110,,Laptop Game Acer E5-475G-55BD Windows 10 Processor I5-7200U (kabylake) RAM 4GB HDD 1TB vga 940MX 2GB DDR5 - Promo Istimewa,Rp8.253.000,Jawa Timur
1519715980-156,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/acer/?&from=onesearch_category_9112,,Acer Aspire VX15 VX5-591G [GTX1050/SSD 128Gb/ Dos] Black,Rp14.999.000,Sumatera Utara
1519716016-429,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/asus/?&from=onesearch_category_9110,,Asus X541NA-BX402T - Intel Celeron N3350 - RAM 4GB - 500GB - 15.6' - Windows 10 - Silver,Rp3.589.000,DKI Jakarta
1519716016-433,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/asus/?&from=onesearch_category_9110,,"ASUS X555BP-BX921T - AMD A9 9420 - DDR4 4GB - HDD 1TB  - ATI RADEON R5 M420 2GB - WIN10 -15,6"" - BLACK",Rp5.400.000,DKI Jakarta
1519716016-438,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/asus/?&from=onesearch_category_9110,,Laptop Gaming Asus x550z,Rp5.850.000,Kalimantan Timur
1519716007-345,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/lenovo/?&from=onesearch_category_9110,,Laptop LENOVO V310-2RID/Core i3/RAM 4GB/1TB HDD/Fingerprint/RESMI-Black,Rp5.515.000,Jawa Timur
1519715960-37,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/dell/?&from=onesearch_category_9112,,Dell Inspiron 14-5468 - Intel Core I7-7500 - 4GB - 1TB - VGA - 14" - Windows 10 - Silver,Rp11.500.000,DKI Jakarta
1519715971-56,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/hp/?&from=onesearch_category_9112,,HP Star Wars Special Edition Notebook - i5-6200U - 15.6" - Hitam,Rp13.999.000,DKI Jakarta
1519716000-257,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/dell/?&from=onesearch_category_9110,,Dell - Notebook  Vostro 3468 - 14" - Intel Core i3-7100U- 4GB -  1TB - Black - Include Kaspersky Anti Virus 6bln,Rp6.235.000,DKI Jakarta
1519715986-162,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/asus/?&from=onesearch_category_9112,https://id-live-02.slatic.net/p/2/asus-rog-gl503vd-fy285t-intel-core-i7-7700hq-ram-8gb-1tb-8gb-hybrid-nvidia-gtx1050-15639-windows-10-black-1511691009-57458745-1871b27881661acb4daf8538a409373a-catalog_233.jpg,Asus ROG GL503VD-FY285T - Intel Core i7-7700HQ - RAM 8GB - 1TB + 8GB Hybrid - Nvidia GTX1050 - 15.6' - Windows 10 - Black,Rp14.549.000,DKI Jakarta
1519715976-87,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/lenovo/?&from=onesearch_category_9112,,Lenovo IdeaPad 500s-14ISK-5VID - Intel Core i7-6500 - 4GB RAM - VGA 2GB - 14" - Windows 10 - Hitam,Rp10.999.000,DKI Jakarta
1519716000-292,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/dell/?&from=onesearch_category_9110,,"Dell Inspiron 3567 [Ci3-6006U, 4GB, 1TB, AMD 2GB, Windows 10 SL, Hitam]",Rp6.449.000,DKI Jakarta
1519715971-53,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/hp/?&from=onesearch_category_9112,,Hp Omen 17 An002Tx Black,Rp40.299.000,Sumatera Utara
1519715997-220,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/toshiba/?&from=onesearch_category_9110,,Toshiba C55 - B1057 - Core i3 - 15.6" - Hitam,Rp4.649.000,
1519715960-2,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/dell/?&from=onesearch_category_9112,https://id-live-03.slatic.net/p/2/dell-inspiron-15-7567-i7-7700hq-8gb-128gb-ssd-500gb-gtx1050ti-4gb-w10-15634fhd-1490586172-94996261-7dd7a1a5114a63006e06c0f6c87b018e-catalog_233.jpg,Dell Inspiron 15-7567 - i7 7700HQ/ 8GB/ 128GB SSD + 500GB/ GTX1050Ti 4GB/ W10/ 15.6"FHD,Rp16.199.000,
1519715986-192,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/asus/?&from=onesearch_category_9112,,Asus ROG GL 552X KBL DM409T LAPTOP GAMING TERBAIK Plus Back Pack Asus ROG I7 Kabylake RAM 4GB HDD 1TB VGA NVIDIA GEFORCE GTX 950M 4GB Wind 10,Rp12.449.000,Jawa Timur
1519715986-195,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/asus/?&from=onesearch_category_9112,,ASUS ROG STRIX GL502VM - i7 7700HQ - 16GB - 128GB - 1TB - GTX1060 - W10 - 15.6"FHD,Rp18.999.000,DKI Jakarta
1519716016-423,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/asus/?&from=onesearch_category_9110,,ASUS X441UV-WX092T - I3-6006U - 4GB - 500GB - GT920MX - 14" - W10,Rp5.688.000,Jawa Barat
1519715976-103,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/lenovo/?&from=onesearch_category_9112,,Lenovo Legion Y520-7700HQ Notebook - Black [i7-7700HQ/8GB/1TB/GTX1050M-4GB/15.6" FHD/DOS],Rp13.999.000,Sumatera Utara
1519715993-207,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/xiaomi/?&from=onesearch_category_9110,,Mi Notebook Air 12.5 Inch Windows 10 Golden,Rp8.658.900,Jawa Timur
